ID,Section,Ref,Requirement,User,Inputs,Conditions,Expected,DataImpact,StateRules,TimeRules,PermissionRules,PolicyRules,CurrentBehavior,Frontend,API,Database,Worker,GapOrDiff,AcceptanceCriteria,TestSteps,ImplementationStatus,GitHubDeliveryStatus,Priority,IssueLink,BranchLink,PRLink,TestResult,CommitHash,Evidence
REQ-22-001,22 إدارة,22-1,صفحات وتبويبات الإدارة وعمليات العرض والإضافة والتعديل والحذف,مدير,إدارة المحتوى,حفظ المدخلات عند الخطأ,كل الإجراءات حيث تنطبق,تأثير على البيانات,لا يوجد,صلاحيات لكل مورد,لا يوجد,"الإدارة تعمل للعرض; لكن الإضافة والتعديل والحذف تعرض ""قريبًا"" في أماكن كثيرة",الإدارة تعمل للعرض; الإضافة منفذة للتشريعات (F03p1); التعديل والحذف يعرضان قريبًا في أماكن أخرى,/api/admin/*,various,لا يوجد,الإضافة والتعديل والحذف غير منفذين في معظم الأقسام,إضافة التشريع منفذة (F03p1); إضافة التعديل والمستخدمين والدور معلقة,إضافة التشريع تعمل (F03p1); بقية الإجراءات معلقة,انقر إضافة تشريع جديد (F03p1),منفذ جزئيًا (إضافة التشريع),مدمج في develop (PR #27 للإضافة),حرجة,fix/26-legislation-creation,fix/26-legislation-creation,#27,agent-browser: إضافة تشريع يعمل,64955b1,docs/audit/RESUME.md
REQ-23-001,23 جودة,23-1,فحوص جودة وبلاغات وسجل تدقيق محمي,مدير نظام,فحص الجودة,معالجة مسببة,سجل محمي,لا تأثير,لا يوجد,لا يوجد,لا يوجد,لا يوجد,Report model موجود ومزروع; لكن لا فحوص جودة تلقائية; التدقيق موجود,reports-section audit-section,GET /api/admin/reports GET /api/admin/audit,Report AuditLog,لا يوجد,فحوص الجودة التلقائية غير منفذة; البلاغات غير مرتبطة,فحص جودة تلقائي وبلاغات ومعالجة,افتح التقارير,جزئي أو معيب,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-24-001,24 إعدادات,24-1,إعدادات مدارة من قاعدة البيانات,مدير نظام,تحرير الإعدادات,قيم مضبوطة الأنواع,استمرار التخصيصات,لا تأثير,لا يوجد,صلاحيات إدارة,تعارض التحرير,PlatformSetting و NavItem و PublicPage موجودة; الإعدادات تعمل; لكن التعارض (409) غير منفذ,settings-section,GET/PUT /api/admin/settings,PlatformSetting NavItem PublicPage,لا يوجد,الإعدادات تعمل; تعارض التحرير غير منفذ,حفظ الإعدادات واستمرارها,عدّل إعدادًا وأعد التشغيل,منفذ جزئيًا,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-25-001,25 عربية,25-1,RTL صحيح وعربية أساس وخط Cairo,قارئ,تصفح,RTL في كل العناصر,تجربة عربية سليمة,لا تأثير,لا يوجد,لا يوجد,لا يوجد,RTL مضبوط; Cairo font; أزرار الترويسة في اليمين; لكن التقويم بالإنجليزية (F12),header globals.css,لا يوجد,لا يوجد,لا يوجد,التقويم بالإنجليزية; بعض عناصر التحكم غير معربة,تقويم وفلاتر عربية ولوحة مفاتيح,افتح منتقي التاريخ,منفذ جزئيًا,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-26-001,26 عارض,26-1,عارض PDF وصور ونصوص وجداول,قارئ,عرض ملحق,تنقل وتكبير وملاءمة,عرض مناسب للنوع,لا تأثير,لا يوجد,صلاحية العرض,عدم تنزيل تلقائي,لا يوجد عارض PDF; الملاحق تعرض نصًا أو جدولا; التنزيل لا يعمل (F08),لا يوجد عارض PDF داخل المتصفح; الملاحق تعرض نصًا أو جدولا; التنزيل يعمل الآن (F08),لا يوجد,Attachment FileAsset,لا يوجد,لا عارض PDF; التنزيل لا يعمل,التنزيل منفذ (F08); عارض PDF داخل المتصفح لا يزال غير منفذ,تنزيل يعمل (F08); عارض PDF مع تنقل وتكبير وطباعة معلق,انقر تنزيل على ملحق (F08); عارض PDF معلق,منفذ جزئيًا (التنزيل فقط),مدمج في develop (PR #15 للتنزيل),عالية,fix/14-attachment-download,fix/14-attachment-download,#15,curl 200 لـ text/table/file; agent-browser تأكد,731ca21,docs/audit/RESUME.md
REQ-27-001,27 مصادقة,27-1,مصادقة وجلسات آمنة,مستخدم,تسجيل دخول,كلمات مرور مجزأة,جلسات HttpOnly,لا تأثير,إبطال الجلسات,قفل الدخول المتكرر,CSRF وCORS,User model موجود; كلمات مرور مجزأة; لكن لا مصادقة فعلية; الإدارة مفتوحة (F14),"User model موجود; كلمات مرور مجزأة (bcrypt); جلسات موقّعة (Web Crypto HMAC, HttpOnly); بوابة دخول منفذة; لا جلسات في متجر خادمي (وضع تجريبي)",لا يوجد,User passwordHash,لا يوجد,لا توجد مصادقة; لا جلسات آمنة; الإدارة مفتوحة,المصادقة والجلسات منفذتان بمستوى تجريبي (F14); متجر جلسات خادمي وCSRF وrate-limit معلقة كقيود بيئية,تسجيل دخول وجلسة آمنة (HttpOnly) منفذ (F14); رفض غير المصرح بـ401 منفذ,سجل دخول admin/Demo1234! وحاول الوصول للإدارة (F14),منفذ جزئيًا (مصادقة تجريبية),مدمج في develop (PR #22+#23),حرجة,fix/21-admin-auth-gate,fix/21-admin-auth-gate,#22+#23,agent-browser: دخول + خروج يعمل; curl: 401/200,097d562,docs/audit/RESUME.md
REQ-28-001,28 تكامل,28-1,API موثق ومعاملات ذرية و409 عند التعارض,مطور,فحص API,OpenAPI,ذرية و409,تأثير على البيانات,تحقق نسخة,لا يوجد,لا يوجد,API routes موجودة; لكن لا توثيق OpenAPI; لا 409; لا معاملات صريحة,src/app/api,Next.js routes,Prisma transactions,لا يوجد,لا OpenAPI; لا 409; لا تحقق نسخة; الذرية غير مضمونة,API موثق و409 عند التعارض,أرسل طلبا متعارضا,غير منفذ,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-29-001,29 بيانات,29-1,20 تشريعًا تجريبيًا موسومًا,مطور,فحص البيانات,عينات غنية,حالات متنوعة,بيانات اختبار,لا يوجد,لا يوجد,أدوار اختبار,لا توجد بيانات مدمرة,23 تشريع مزروع; حالات متنوعة; موسومة تجريبية; لكن بعضها ناقص المواد,prisma/seed/,GET /api/legislations,various,لا يوجد,البيانات التجريبية جيدة لكن بعض التشريعات بلا مواد,فحص تكامل البيانات التجريبية,افتح قائمة التشريعات,منفذ جزئيًا,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-30-001,30 اختبارات,30-1,اختبارات سلوك وتكامل ورحلات,مطور,فحص الاختبارات,حالات حرجة وسلبية,نجاح موثق,لا تأثير,حدود زمنية,إتاحة,أداء,لا توجد اختبارات في المشروع; لا ملفات اختبار,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا توجد اختبارات على الإطلاق,اختبارات للمنطق والزمن والصلاحيات,ابحث عن ملفات اختبار,غير منفذ,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-31-001,31 تشغيل,31-1,ترحيلات وإعدادات بيئة وتشغيل مباشر,مطور,فحص التشغيل,تشغيل على Debian 12,Nginx وsystemd,تأثير على البيانات,لا يوجد,لا يوجد,لا يوجد,لا يوجد,Nginx وsystemd غير موجودين; لا ملفات تشغيل; لا مراقبة; لا نسخ احتياطي,لا يوجد,لا يوجد,prisma db:push,لا يوجد,لا توجد ملفات تشغيل أو مراقبة أو نسخ احتياطي,تشغيل مباشر ومراقبة ونسخ احتياطي,افحص ملفات التشغيل,غير منفذ,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-32-001,32 تسليم,32-1,تسليم كامل: شفرة وبناء ووثائق وأوامر,مطور,فحص التسليم,اكتمال المكونات,تطبيق عامل,لا تأثير,لا يوجد,لا يوجد,لا يوجد,الشفرة موجودة; البناء يعمل; لكن اختبارات ووثائق وأوامر ناقصة,AGENTS.md CONTRIBUTING.md,Build works,Prisma,لا يوجد,التسليم جزئي; النواقص موثقة,تسليم كامل مع أوامر واختبارات,افحص اكتمال التسليم,منفذ جزئيًا,مدمج في develop,عالية,,docs/2-audit-requirements,,,,
